ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
N,68,1.18,Çc,Çs,150,56,,1988,19,0,,0,"53,133","505,248","1,077,235","2,786,096","249,680",1,1,1,1,1,0.205,0.011,88,0.96,"10,023","4,485",0.41,1.218,0.068,15,1.85,"8,642",0.78,C
N,69,1.33,Çc,Çs,200,6,,1989,18,0,,0,"2,954,136","505,248","1,077,235","2,786,096","24,999",1,1,1,1,1,0.205,0.001,877,0.96,"1,004","7,054",6.38,1.218,0.007,148,0.96,"7,054",6.38,A
N,70,1.06,Çc,Çs,200,116,,1974,33,0,,0,"133,758","505,248","1,077,235","2,786,096","522,722",1,1,1,1,1,0.205,0.024,42,1.03,"20,983","5,176",0.22,1.218,0.142,7,3.42,"17,186",0.74,C
N,71,0.86,Çc,Çs,150,33,,1974,33,0,,0,"1,610,800","505,248","1,077,235","2,786,096","146,785",1,1,1,1,1,0.205,0.007,149,0.96,"5,892","5,881",0.91,1.218,0.04,25,1.32,"8,087",1.25,B
N,72,0.86,Çc,Ç`,300,28,,1970,37,0,,0,"1,610,800","505,248","1,077,235","2,786,096","126,009",1,1,1,1,1,0.205,0.006,174,0.96,"5,058","5,861",1.05,1.218,0.034,29,1.23,"7,510",1.35,A
N,73,0.86,Çc,Çs,150,8,,1974,33,0,,0,"1,610,800","505,248","1,077,235","2,786,096","34,333",1,1,1,1,1,0.205,0.002,638,0.96,"1,378","5,773",3.8,1.218,0.009,108,0.96,"5,773",3.8,A
N,74,0.86,Çc,Çj,300,14,,1989,18,0,,0,"2,954,136","505,248","1,077,235","2,786,096","62,389",1,1,1,1,1,0.205,0.003,351,0.96,"2,504","7,090",2.57,1.218,0.017,59,0.96,"7,090",2.57,A
N,75,0.9,Çc,Çs,200,7,,1986,21,0,,0,"1,610,800","505,248","1,077,235","2,786,096","31,275",1,1,1,1,1,0.205,0.001,701,0.96,"1,255","5,770",4.17,1.218,0.008,118,0.96,"5,770",4.17,A
N,76,0.86,Çc,Ç`,300,7,,1971,36,0,,0,"1,610,800","505,248","1,077,235","2,786,096","30,027",1,1,1,1,1,0.205,0.001,730,0.96,"1,205","5,769",4.34,1.218,0.008,123,0.96,"5,769",4.34,A
N,77,0.86,Çc,Ç`,150,103,,1969,38,0,,0,"1,610,800","505,248","1,077,235","2,786,096","465,156",1,1,1,1,1,0.205,0.021,47,0.98,"18,672","6,316",0.31,1.218,0.126,8,3.05,"19,656",0.96,C
