ward,no.,leakage/y/m/d,leakage point,cause,repair way,other repair,remove or not,diameter,leakage year,construction year
K,1291,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1980
K,1347,平成15年8月28日,配水管本体,不明,割継輪,,未撤去,200,2003,1974
K,1357,平成6年12月7日,不明,その他,ボルト替え,,未撤去,300,1994,1967
K,1365,平成7年12月13日,配水管本体,不明,割継輪,,未撤去,150,1995,1979
K,1416,平成06年07月00日,不明,不明,不明,,未撤去,100,1994,1966
K,1440,平成13年9月17日,配水管本体,不明,ボルト替え,,未撤去,100,2001,1998
K,1454,平成8年2月19日,不明,不明,不明,取替,未撤去,75,1996,1981
L,162,平成18年8月25日,配水管本体,不明,割継輪,,未撤去,300,2006,1965
L,326,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1966
L,299,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1966
L,353,昭和57年00月00日,不明,不明,不明,,未撤去,100,1982,1966
L,353,平成17年8月25日,不明,不明,割継輪,配水管修繕工事,未撤去,100,2005,1966
L,326,平成01年00月00日,不明,不明,不明,,未撤去,150,1989,1966
L,326,平成01年00月00日,不明,不明,不明,,未撤去,150,1989,1966
L,328,平成01年00月00日,不明,不明,不明,,未撤去,200,1989,1966
L,328,平成01年00月00日,不明,不明,不明,,未撤去,200,1989,1966
L,696,平成06年07月00日,不明,不明,割継輪,,未撤去,100,1994,1967
L,986,平成15年12月22日,不明,その他,不明,配水設備修繕工事,不明,150,2003,1978
L,1062,平成8年4月9日,不明,不明,割継輪,,未撤去,150,1996,1972
L,1074,昭和61年00月00日,不明,不明,不明,上期,未撤去,150,1986,1985
L,1076,平成02年00月00日,不明,不明,不明,,未撤去,300,1990,1967
L,1231,平成03年05月00日,不明,不明,不明,折損修繕,未撤去,100,1991,1990
L,1328,平成03年12月00日,不明,不明,不明,,未撤去,200,1991,1979
L,1329,平成04年03月00日,不明,不明,不明,,未撤去,150,1992,1967
L,1333,昭和61年00月00日,不明,不明,不明,,未撤去,200,1986,1981
L,1354,平成04年11月00日,不明,不明,割継輪,,未撤去,300,1992,1977
L,1060,昭和58年00月00日,不明,不明,不明,下期,未撤去,150,1983,1966
L,1463,平成8年4月3日,不明,不明,管取替え,,未撤去,300,1996,1967
L,1522,平成14年11月20日,不明,その他,不明,消火栓取り替え工事,撤去済,150,2002,1974
L,1300,平成17年4月15日,配水管本体,不明,不明,,未撤去,100,2005,2003
L,1581,昭和60年00月00日,不明,不明,不明,,未撤去,200,1985,1973
M,37,平成9年1月23日,配水管本体,不明,割継輪,,未撤去,150,1997,1987
M,48,平成16年8月19日,継手,不明,漏水防止金具,,未撤去,100,2004,1965
M,66,平成4年10月17日,配水管本体,不明,割継輪,,未撤去,150,1992,1981
M,655,昭和62年00月00日,不明,不明,不明,,未撤去,300,1987,1968
M,771,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1979
M,874,平成8年3月9日,配水管本体,不明,割継輪,,未撤去,150,1996,1973
M,959,平成17年10月27日,不明,不明,不明,,不明,150,2005,1969
M,1160,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1971
M,1263,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1974
M,1549,平成04年01月00日,不明,不明,不明,管修繕．曲管．切管,未撤去,150,1992,1968
M,1650,平成03年10月00日,配水管本体,不明,割継輪,,未撤去,300,1991,1968
M,1666,平成04年03月00日,不明,不明,不明,,未撤去,150,1992,1976
M,1846,昭和60年00月00日,不明,不明,不明,,未撤去,100,1985,1967
M,1846,平成18年1月31日,配水管本体,不明,割継輪,,未撤去,100,2006,1967
M,1975,平成9年2月18日,配水管本体,不明,割継輪,,未撤去,100,1997,1990
M,2281,平成17年8月22日,不明,不明,不明,,不明,150,2005,1973
M,2414,平成15年1月15日,不明,その他,不明,,未撤去,75,2003,1997
M,2765,平成02年00月00日,不明,不明,不明,,未撤去,150,1990,1966
M,2689,昭和56年00月00日,不明,不明,不明,,未撤去,300,1981,1966
N,22,昭和59年00月00日,不明,不明,不明,上,未撤去,150,1984,1983
N,117,昭和63年00月00日,不明,不明,不明,,未撤去,300,1988,1976
N,136,平成07年01月00日,不明,不明,その他,,未撤去,200,1995,1969
N,332,昭和56年00月00日,不明,不明,不明,,未撤去,200,1981,1971
N,488,平成18年11月20日,配水管本体,不明,割継輪,,未撤去,200,2006,1974
N,569,平成15年1月29日,配水管本体,不明,割継輪,,未撤去,150,2003,1967
N,571,平成15年1月29日,配水管本体,不明,割継輪,,未撤去,150,2003,1979
N,539,昭和61年00月00日,不明,不明,不明,,未撤去,300,1986,1966
N,539,昭和62年00月00日,不明,不明,不明,,未撤去,300,1987,1966
N,898,平成18年5月16日,配水管本体,不明,割継輪,,未撤去,200,2006,1972
N,1035,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1985
N,1069,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1980
N,1141,昭和60年00月00日,不明,不明,不明,,未撤去,200,1985,1978
N,1168,平成18年10月25日,配水管本体,不明,割継輪,,未撤去,150,2006,1986
N,1312,平成19年1月18日,配水管本体,不明,割継輪,,未撤去,200,2007,1966
N,1262,昭和63年4月28日,継手,第3者,管取替え,　　　　　　　　　　　　　　　　　　　　,撤去済,200,1988,1978
N,1262,昭和61年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,撤去済,200,1986,1978
N,1312,平成13年00月00日,配水管本体,不明,割継輪,,未撤去,200,2001,1966
N,1345,昭和57年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,未撤去,200,1982,1966
N,1349,昭和57年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,未撤去,150,1982,1969
N,1631,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1974
N,1644,平成17年2月26日,配水管本体,不明,割継輪,,未撤去,150,2005,1973
N,1678,昭和57年00月00日,不明,不明,不明,,未撤去,300,1982,1966
N,1311,平成16年9月12日,不明,その他,不明,φ３００割丁字管取替工事,未撤去,300,2004,1966
N,1726,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1968
N,1760,平成02年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,撤去済,200,1990,1990
N,1987,平成8年12月8日,不明,不明,割継輪,,未撤去,150,1996,1977
N,1816,平成14年3月1日,配水管本体,不明,割継輪,,未撤去,200,2002,1969
N,2162,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1985
N,2165,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1968
N,2257,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1969
